Datetime,Username,Text
2023-07-13T04:04:10Z,VINIVIDIVICI,"Dari bulan lalu, beritanya tentang Nikuba dilirik mulu.
Apa untungnya kalo cuma DILIRIK ???"
2023-07-13T03:28:58Z,Ozi SIS21,"Negeri ini sulit sekali menghargai hasil karya anak bangsa sendiri. Ada nikuba, dan yang teranyar adalah stadium JIS. Semuanya dikatakan memiliki banyak cacad. Tetapi kalau hasil karya rezim dan konco konco nya walaupun banyak cacad dan kekurangan tetap disanjung-sanjung. Memang MENYEDIHKAN."
2023-07-13T02:51:43Z,Kristian Ynod,"lama lama drama wakanda ini nikuba.....nikubanyu jangan sampai jadi nikubacot......buktikan secepatnya....1 produksi untuk jalankan sepeda tanpa tangki, 1 lt bisa 500 km...........semangat"
2023-07-13T02:04:25Z,A Cep Saepuloh,Beda nasib NIKUBA vs ESEMKA🙄
2023-07-13T01:30:54Z,Chef Andaliman,"Apa cuma ak yg percaya kalo Nikuba ini cuma pembualan bapak misel saja ya...😂
Secara fisika itu bulshit menurutku..
1liter air bisa 200km 
1tetes bisa 45km 
Come on baraya ga perlu pintar ko menganalisis ini..ini ud pasti pembualan, dan media memamfaatkan emosi nitizen membuat berita bombastis..ayolah be smart jangan mau di permainkan media."
2023-07-13T01:12:24Z,Zen DIY,"Korban pembodohan media tv,di yt sudah lama dibahas kegagalan nikuba"
2023-07-13T00:33:24Z,Nakula04 Power,Bikin berita mbok yang proporsional. Mendatangkan tenaga ahli juga. Perlu di cek aslinya apakah Ferrari beneran tertarik nikuba. Bisa cek berita aslinya dari portalnya resmi ferari. Jangan seolah-olah membuat heboh terhadap inovasi yg sebenarnya sdh lama dan tdk layak. Tapi judulnya tidak salah dan tidak bisa digugat karena menggunakan tanda ?
2023-07-12T23:39:35Z,Aulia Vika,"Menurut saya pak misel gak usah melibatkan BRIN untuk mengembangkan nikuba,, lebih baik jika pak misel mematenkan hak cipta sendiri.. Tanpa campur tangan pemerintah... Karena pemerintah bakal menjegal dan mengeklaim penemuan tersebut.. Otomatis pak misel gak bakal dpt kompensasi atas hak ciptanya"
2023-07-12T22:49:36Z,Suwadi Suwadi,"1. Harusnya pada awal-awal penemuan dulu akan lebih baik jika penemuan NIKUBA ditanggapi secara positif terlebih dahulu oleh pihak-pihak terkait di negeri ini (BRIN, Kemendikbudristek, dll)
2. Undang penemu NIKUBA untuk mempresentasikan;
3. Jika memungkinkan dikembangkan ya didukung untuk riset lebih lanjut untuk disempurnakan, apalagi penemu NIKUBA bukanlah seorang peneliti yang berlatar belakang akademisi yang mana penelitiannya mungkin tidak sesuai dengan SOP penelitian di kampus, sedangkan pihak BR!N dan kampus melihatnya dari sudut SOP penelitian akademis; Ingat bahwa banyak penemuan2 besar di dunia yang tidak ada background kampus dari penemunya, tetapi hasil dari trial and error yang berkali2 bahkan ratusan atau ribuan coba-coba dan hasil penemuannya bisa kita rasakan sama saat ini;
4. Jika ada sinergi antara penemu NIKUBA dengan pihak BRIN akan sangat bagus, penemu NIKUBA bisa terus melakukan penelitiannya, sedangkan pihak BRIN bisa meluruskan prosedeur risetnya;
5. Apapun yang dilakukan oleh anak bangsa terkait inovasi harus dihargai apalagi untuk kepentingan orang banyak. Jangan langsung dicibir, dicaci, dan dikritisi habis2an."
2023-07-12T22:33:50Z,Last Hope,Ingat nikuba ingat joko energi penemu nikuba 2010 lalu
2023-07-12T22:25:37Z,Da Roni,"Nikuba harusnya menjadi kebanggaan bangsa bukan malah dimatikan, sudah banyak penemuan dr anak bangsa yg lari ke luar negeri karena tidak dihargai bangsanya sendiri, sebagai contoh penemu obat DBD dr kota Pontianak yg sampai hari ini mati matian memperjuangkan hasil temuannya tapi selalu ditolak, padahal sampai hari ini banyak negara melakukan riset obat DBD tapi tidak berhasil sementara di Indonesia sendiri sudah ditemukan malah dianggap sepi aja,mana nih orang yg katanya peneliti yg sudah bergelar profesor ,nggak usah malu kalau ada masyarakat biasa yg  berhasil melakukan riset,"
2023-07-12T20:22:49Z,Yahdi Ahmada,"Kendaraan di Indonesia tidak sejalan dengan teknologi Nikuba, karna semua mobil di indo berbahan bakar bensin dll, sehingga hanya satu perusahaan mobil yg bisa mendukung teknologi Nikuba ini, yaituuuuuu,,,, ESEMKA, tapi Esemka hanya di produksi pas musim pemilihan, dan hanya di produksi oleh petugas partai, lewat omongan planga plongo😂😂😂😂😂"
2023-07-12T19:27:40Z,Adul Aja,Biasa lah brin gk mw disalahin negara. Atau mungkin pngen duit dari hasil kejeniusan NIKUBA
2023-07-12T18:50:22Z,farid rahman,"Bukannya gimana-gimana ya. Terus terang gw sanksi sama nikuba. Biar bagaimana pun elektrolisis itu ga efesien. Kasarnya daripada buang energi buat mengelektrolisis air lebih baik energinya langsung dipakai buat menggerakkan motor. Tapi terlepas dari efesien atau ga, tentunya perlu desain teknis untuk melakukan elektrolisis dalam skala kecil ini. Harusnya bapak ini bisa mematenkan dulu desain yang beliau bikin sehingga ga perlu khawatir karyanya dicontek orang."
2023-07-12T17:42:56Z,Indra Tiwik,"Negri ini pasti menolak nikuba,,,, kalau nikuba di akuii tuh pertamina gk laku di negri ini🤣🤣🤣,,,,,, ya  inilah indonesiaku"
2023-07-12T17:27:22Z,Djuneidi Saripurnawan,"Arogansi BRIN sbg lembaga para pakar/ahli terhadap temuan/inovasi yg datang dari kalangan non-akademisi memang menunjukkan keangkuhan dunia akademik, experiment Nikuba bila nyata nyata terbukti bermanfaat maka akan membuat pakar BRIN menjadi ""katak dalam tempurung""...siapa jago ngecap dan tak bermanfaat....wuih, uang negara habis untuk mereka saja, enak sendiri seperti ""masturbasi""..??"
2023-07-12T17:11:59Z,Robitoh99,"BUMN DAH BANGKRUT. 
KALO NIKUBA DI BUAT MASSAL...
APA YG AKAN TERJADI SAMA PENJABAT BUMN PERTAMINA.INI.
MAKA NIKUBA SULIT TEMBUS"
2023-07-12T16:14:50Z,edi konveksi,"Takut ada yg bangkrut klw pake nikuba.,."
2023-07-12T15:05:48Z,Indra,"Nikuba aja dibantai...
Apa lagi stadion JIS...
😱😱😱"
2023-07-12T14:49:23Z,Sam Adiwijoyo,Emangnya Barat bikin seperti itu gak bisa? Hingga tertarik produk nikuba?! Secara teknologi mereka lebih mumpuni. Tetap saja sampai skrg mereka pakai minyak. 😁😁😁 Mau ketawa takut dihujat 😁😁😁
2023-07-12T14:22:02Z,Dia Dika,"Nikuba laku,,,,yg pasti mafia BBM ketar ketir kehilangan CUAn nya,,, 
Bayangin saja 1 liter bensin bs dirubah dg jarak 200km,,, luar biasa"
2023-07-12T13:47:52Z,Mulyadi sarnadi,Semoga nikuba diterima ferari...kita amati saja jgn sampek kejadiannya sama seperti jaman SBY.
2023-07-12T12:34:52Z,Muh. Asbul Sewang,"Jangan dijual ke uni eropa, pak.lebih baik diajukan ke pemerintah untuk dikembangkan agar dapat diproduksi mesin NIKUBA yang menggunakan bahan bakar air."
2023-07-12T12:14:33Z,Don't Miss it,Bilang aja takut bangkrut klo nikuba muncul
2023-07-12T11:10:07Z,Han Property,"Mohon di cermati baik2, lihat pengakuakuan beliau terbaru. Di italia tidak tertarik membeli proyek nikuba, hanya disuruh presentasi dan ilmu nya akan diambil tanpa dibayar sepeserpun. Jadi netizen yg koar2 jangan bangga dulu menyalahkan pemerintah,.emang butuh penelitian ilmiah lebih lanjut."
2023-07-12T10:56:08Z,Tommy Sandra,"Mungkin bapak penemu nikuba ini tamatan sekolah setara SMA 
makanya di tolak"
2023-07-12T10:55:38Z,Capunk Aspal,Mungkin dari pihak pertamina  yg takut  jika  nikuba jadi diproduksi
2023-07-12T10:49:24Z,Salman Alfarisi,"Asli benar2 mentah hati bapak penemu nikuba ini ketika d tanya presenter, apa harapan bapak kepada pemerintah dan Brin untuk meningkatkan Nikuba ini,pak misel jawab dengan lantang ""wah saya tak butuh mereka pak, saya sudah d nantai habis"" lugasnya 😢
Pobroknya rezim sekarang sampai gedung DPR saja dalam penelusuran Google kandang tikus😂
Pejabat sekarang kebanyakan petugas partai, bukan petugas Rakyat,"
2023-07-12T10:44:52Z,Piano Sheet Performance,"Saya kubu yang tidak percaya nikuba, yg tidak setuju silahkan hujat saya"
2023-07-12T09:14:46Z,HARMANTO ART,Apa yg bisa didapatkan para pejabat negri yg terhormat dengan mengakui/menghargai temuan hebat seperti ini......?
2023-07-12T08:58:39Z,dimas arya,Muncul lg bae nikuba hahaha..
2023-07-12T07:30:19Z,Tjihen Djien Oe,Setau  ku  nikuba udah ada di tahun   2009
2023-07-12T07:00:34Z,Bambang Susanto,"Brin merasa mereka para profesor sedang pak Aryanto hanya lulusan STM , kalah gengsi , itulah pemikiran yang salah ngak mau menghargai orang , kalau profesor bermental tempe ya begitu ngak bisa legowo , lanjutkan pak Aryanto tunjukkan bahwa temuan anda memang bermanfaat buat orang banyak , ngak di hargai di negeri sendiri karena regulasi gpp , nanti kalau sudah booming di dunia teknologi nikuba baru nyesel"
2023-07-12T05:37:37Z,Nandang Permana,Di leginitas dlm negri kita belum merdeka sepenuhnya munkin...karena kerjasama yg mengikat itu...jika indonesia mengembangkan nikuba mungkin dpt masalah baru bagi pemerintah...
